"mes","uf","sh6","no_sh6_por","total_fob"
"12","SP","100630","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaceado)","6821300"
"11","SP","100630","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaceado)","5734458"
"10","SP","100630","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaceado)","3447669"
"6","SP","100630","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaceado)","3320401"
"8","SP","100630","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaceado)","2861618"
"5","SP","100630","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaceado)","2836198"
"1","SP","100630","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaceado)","2812345"
"4","SP","100630","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaceado)","2783588"
"3","SP","100630","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaceado)","2657598"
"9","SP","100630","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaceado)","2409036"
"7","SP","100630","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaceado)","2224598"
"2","SP","100630","Arroz semibranqueado ou branqueado, mesmo polido ou brunido (glaceado)","1686716"
